"MRI_S_region","Freq"
"accessory-basal-nucleus in the right hemisphere",1
"amygdala in the right hemisphere",1
"ba3b in the left hemisphere",5
"caudalanteriorcingulate in the left hemisphere",5
"cl in the left hemisphere",5
"fusiform in the right hemisphere",1
"g-cingul-post-dorsal in the right hemisphere",1
"g-front-middle in the left hemisphere",1
"g-front-middle in the right hemisphere",5
"g-front-sup in the right hemisphere",1
"g-ins-lg+s-cent-ins in the left hemisphere",1
"g-orbital in the right hemisphere",1
"g-temp-sup-plan-tempo in the left hemisphere",1
"g+s-transv-frontopol in the right hemisphere",1
"insula in the left hemisphere",4
"insula in the right hemisphere",5
"lateralorbitofrontal in the right hemisphere",1
"left pallidum",5
"medulla in the whole brain",1
"molecular-layer-hp-head in the right hemisphere",5
"putamen in the right hemisphere",5
"right amygdala",1
"right inferior frontal gyrus, pars triangularis",5
"right inferior temporal gyrus, anterior division",1
"right postcentral gyrus",1
"right viib cerebellum",1
"rostralmiddlefrontal in the left hemisphere",2
"rostralmiddlefrontal in the right hemisphere",1
"superiorfrontal in the left hemisphere",2
"superiorfrontal in the right hemisphere",3
"totalgray in the whole brain",1
