"MRI_S_region","MRI_S_category","Freq"
"ba4p in the left hemisphere","cortical area",9
"caudalanteriorcingulate in the left hemisphere","cortical area",35
"fusiform in the right hemisphere","cortical area",12
"g-front-middle in the left hemisphere","cortical area",22
"g-front-sup in the right hemisphere","cortical area",9
"g-ins-lg+s-cent-ins in the left hemisphere","cortical area",22
"g-postcentral in the left hemisphere","cortical area",9
"g-temp-sup-lateral in the right hemisphere","cortical area",9
"g+s-cingul-mid-ant in the left hemisphere","cortical area",9
"insula in the left hemisphere","cortical area",6
"lat-fis-post in the left hemisphere","cortical area",36
"medialorbitofrontal in the left hemisphere","cortical area",9
"medialorbitofrontal in the right hemisphere","cortical area",18
"paracentral in the right hemisphere","cortical area",18
"postcentral in the left hemisphere","cortical area",18
"posteriorcingulate in the right hemisphere","cortical area",3
"rostralanteriorcingulate in the left hemisphere","cortical area",9
"rostralmiddlefrontal in the left hemisphere","cortical area",22
"s-circular-insula-inf in the right hemisphere","cortical area",9
"s-collat-transv-post in the left hemisphere","cortical area",16
"s-front-middle in the left hemisphere","cortical area",9
"superiorfrontal in the right hemisphere","cortical area",18
"totalsurface in the right hemisphere","cortical area",9
"transversetemporal in the left hemisphere","cortical area",36
"transversetemporal in the right hemisphere","cortical area",5
"inferiortemporal in the right hemisphere","cortical grey-white contrast",3
"transversetemporal in the right hemisphere","cortical grey-white contrast",3
"ba1 in the left hemisphere","cortical thickness",9
"ba44 in the left hemisphere","cortical thickness",9
"ba44 in the right hemisphere","cortical thickness",37
"ba45 in the left hemisphere","cortical thickness",9
"ba45 in the right hemisphere","cortical thickness",9
"ba6 in the right hemisphere","cortical thickness",9
"caudalmiddlefrontal in the left hemisphere","cortical thickness",18
"fusiform in the right hemisphere","cortical thickness",43
"g-front-inf-opercular in the right hemisphere","cortical thickness",9
"g-front-inf-orbital in the right hemisphere","cortical thickness",9
"g-front-middle in the right hemisphere","cortical thickness",9
"g-front-sup in the right hemisphere","cortical thickness",9
"g-pariet-inf-supramar in the left hemisphere","cortical thickness",9
"g-pariet-inf-supramar in the right hemisphere","cortical thickness",9
"g-temporal-inf in the left hemisphere","cortical thickness",29
"g-temporal-inf in the right hemisphere","cortical thickness",25
"g+s-cingul-ant in the left hemisphere","cortical thickness",9
"g+s-cingul-mid-post in the left hemisphere","cortical thickness",3
"g+s-transv-frontopol in the right hemisphere","cortical thickness",27
"inferiortemporal in the right hemisphere","cortical thickness",50
"isthmuscingulate in the right hemisphere","cortical thickness",8
"paracentral in the right hemisphere","cortical thickness",18
"parsopercularis in the right hemisphere","cortical thickness",9
"parsorbitalis in the right hemisphere","cortical thickness",18
"parstriangularis in the right hemisphere","cortical thickness",18
"rostralmiddlefrontal in the right hemisphere","cortical thickness",18
"s-circular-insula-sup in the left hemisphere","cortical thickness",9
"s-front-inf in the left hemisphere","cortical thickness",9
"s-front-inf in the right hemisphere","cortical thickness",9
"s-front-middle in the left hemisphere","cortical thickness",22
"s-front-middle in the right hemisphere","cortical thickness",9
"s-orbital-lateral in the left hemisphere","cortical thickness",16
"supramarginal in the left hemisphere","cortical thickness",18
"cc-anterior in the whole brain","regional and tissue intensity",3
"cc-posterior in the whole brain","regional and tissue intensity",35
"pallidum in the right hemisphere","regional and tissue intensity",8
"ba4p in the left hemisphere","regional and tissue volume",2
"fusiform in the right hemisphere","regional and tissue volume",6
"g-ins-lg+s-cent-ins in the left hemisphere","regional and tissue volume",22
"insula in the right hemisphere","regional and tissue volume",6
"l-sg in the right hemisphere","regional and tissue volume",6
"lateraloccipital in the right hemisphere","regional and tissue volume",44
"left planum temporale","regional and tissue volume",36
"left precuneous cortex","regional and tissue volume",24
"left superior temporal gyrus, posterior division","regional and tissue volume",36
"number of holesbeforefixing in the left hemisphere","regional and tissue volume",33
"perirhinal in the left hemisphere","regional and tissue volume",29
"pt in the left hemisphere","regional and tissue volume",21
"pt in the right hemisphere","regional and tissue volume",6
"pui in the left hemisphere","regional and tissue volume",3
"pum in the left hemisphere","regional and tissue volume",32
"right precentral gyrus","regional and tissue volume",8
"s-intrapariet+p-trans in the left hemisphere","regional and tissue volume",26
"superiorparietal in the left hemisphere","regional and tissue volume",36
"transversetemporal in the left hemisphere","regional and tissue volume",72
"vermis viiia cerebellum","regional and tissue volume",36
"vpl in the right hemisphere","regional and tissue volume",6
"wm-hypointensities in the whole brain","regional and tissue volume",35
